"id","action","subject"
1,"manage","all"
2,"read","organization"
3,"create","organization"
4,"update","organization"
5,"delete","organization"
6,"read","dashboard"
7,"create","dashboard"
8,"update","dashboard"
9,"delete","dashboard"
10,"read","role"
11,"create","role"
12,"update","role"
13,"delete","role"
14,"read","user"
15,"create","user"
16,"update","user"
17,"delete","user"
18,"read","settings"
19,"create","settings"
20,"update","settings"
21,"delete","settings"
22,"read","invoice"
23,"create","invoice"
24,"update","invoice"
25,"delete","invoice"
26,"read","project"
27,"create","project"
28,"update","project"
29,"delete","project"
30,"read","budget"
31,"create","budget"
32,"update","budget"
33,"delete","budget"
34,"read","category"
35,"create","category"
36,"update","category"
37,"delete","category"
